m, W/sr m3
9.000000000000000652e-07,5.466840000000000000e+06
9.004999999999999968e-07,5.444198800000000745e+06
9.010000000000000344e-07,5.399972675000000745e+06
9.014999999999999661e-07,5.333074012500000186e+06
9.020000000000000037e-07,5.450632450000000186e+06
9.024999999999999353e-07,5.642571187500000000e+06
9.029999999999999729e-07,5.915343424999999814e+06
9.035000000000000105e-07,6.198307700000000186e+06
9.040000000000000480e-07,6.389123500000000000e+06
9.044999999999999797e-07,6.461298937500000000e+06
9.050000000000000173e-07,6.408769375000000000e+06
9.054999999999999490e-07,6.303395787499999627e+06
9.059999999999999865e-07,6.137269950000000186e+06
9.065000000000000241e-07,5.882696387500000186e+06
9.070000000000000617e-07,5.641969875000000000e+06
9.074999999999999933e-07,5.438073437500000000e+06
9.080000000000000309e-07,5.324674400000000373e+06
9.084999999999999626e-07,5.239819812500000000e+06
9.090000000000000002e-07,5.182588625000000000e+06
9.094999999999999318e-07,5.173180349999999627e+06
9.100000000000000753e-07,5.213920000000000000e+06
9.105000000000000070e-07,5.335854500000000000e+06
9.110000000000000445e-07,5.442918900000000373e+06
9.114999999999999762e-07,5.508419137500000186e+06
9.120000000000000138e-07,5.490519099999999627e+06
9.124999999999999455e-07,5.370167500000000000e+06
9.129999999999999830e-07,5.231623424999999814e+06
9.135000000000000206e-07,5.109827787499999627e+06
9.140000000000000582e-07,5.169909549999999814e+06
9.144999999999999899e-07,5.243179687500000000e+06
9.150000000000000274e-07,5.210613125000000931e+06
9.154999999999999591e-07,5.135702687500000000e+06
9.159999999999999967e-07,5.095696799999999814e+06
9.165000000000000342e-07,5.208261387500000186e+06
9.170000000000000718e-07,5.206545850000000559e+06
9.175000000000000035e-07,5.172938250000000000e+06
9.180000000000000410e-07,5.176932200000000186e+06
9.184999999999999727e-07,5.317402187500000000e+06
9.190000000000000103e-07,5.511445650000000373e+06
9.194999999999999420e-07,5.690816325000000186e+06
9.200000000000000854e-07,5.815138500000000000e+06
