m, None
9.000000000000000652e-07,5.648179100000000341e-01
9.004999999999999968e-07,5.363133500000000220e-01
9.010000000000000344e-07,5.208393900000000132e-01
9.014999999999999661e-07,5.488818300000000150e-01
9.020000000000000037e-07,5.471969800000000550e-01
9.024999999999999353e-07,5.489569899999999780e-01
9.029999999999999729e-07,5.909723000000000059e-01
9.035000000000000105e-07,6.646207600000000326e-01
9.040000000000000480e-07,7.022294399999999825e-01
9.044999999999999797e-07,6.921022500000000299e-01
9.050000000000000173e-07,6.865804199999999691e-01
9.054999999999999490e-07,6.849076200000000503e-01
9.059999999999999865e-07,6.610657599999999467e-01
9.065000000000000241e-07,6.119962300000000299e-01
9.070000000000000617e-07,5.643404100000000145e-01
9.074999999999999933e-07,5.376235200000000214e-01
9.080000000000000309e-07,5.442961499999999786e-01
9.084999999999999626e-07,5.446221199999999873e-01
9.090000000000000002e-07,5.329634500000000052e-01
9.094999999999999318e-07,5.358887900000000037e-01
9.100000000000000753e-07,5.430939799999999762e-01
9.105000000000000070e-07,5.338621099999999453e-01
9.110000000000000445e-07,5.524498799999999488e-01
9.114999999999999762e-07,5.877160399999999951e-01
9.120000000000000138e-07,5.776211599999999668e-01
9.124999999999999455e-07,5.706929600000000269e-01
9.129999999999999830e-07,5.172483300000000339e-01
9.135000000000000206e-07,4.496063299999999985e-01
9.140000000000000582e-07,4.926583199999999829e-01
9.144999999999999899e-07,5.827218299999999962e-01
9.150000000000000274e-07,5.560680599999999751e-01
9.154999999999999591e-07,4.600193799999999777e-01
9.159999999999999967e-07,4.907327000000000217e-01
9.165000000000000342e-07,5.776400000000000423e-01
9.170000000000000718e-07,5.587496800000000263e-01
9.175000000000000035e-07,4.863761699999999966e-01
9.180000000000000410e-07,4.928892300000000115e-01
9.184999999999999727e-07,5.688881300000000474e-01
9.190000000000000103e-07,6.210566800000000276e-01
9.194999999999999420e-07,6.320582599999999829e-01
9.200000000000000854e-07,6.631166299999999847e-01
9.205000000000000171e-07,6.950883300000000320e-01
9.210000000000000547e-07,6.725255300000000380e-01
9.214999999999999864e-07,6.393790799999999885e-01
9.220000000000000239e-07,6.428994500000000389e-01
9.224999999999999556e-07,6.744337099999999641e-01
9.229999999999999932e-07,6.740145100000000111e-01
9.235000000000000307e-07,6.339489799999999953e-01
9.240000000000000683e-07,6.030025500000000260e-01
9.245000000000000000e-07,5.988950100000000054e-01
9.250000000000000376e-07,6.150302300000000111e-01
9.254999999999999692e-07,6.359488399999999597e-01
9.260000000000000068e-07,6.361423699999999570e-01
9.264999999999999385e-07,6.354170999999999569e-01
9.270000000000000819e-07,6.393749699999999869e-01
9.275000000000000136e-07,5.733447699999999481e-01
9.280000000000000512e-07,4.797763800000000023e-01
9.284999999999999829e-07,4.355451200000000078e-01
9.290000000000000204e-07,4.181020599999999976e-01
9.294999999999999521e-07,3.918030900000000205e-01
9.300000000000000956e-07,3.515872400000000231e-01
9.305000000000000272e-07,3.207196299999999778e-01
9.310000000000000648e-07,2.954842999999999775e-01
9.314999999999999965e-07,2.481658499999999934e-01
9.320000000000000341e-07,1.796743600000000052e-01
9.324999999999999657e-07,1.488503700000000096e-01
9.330000000000000033e-07,1.523867999999999889e-01
9.335000000000000409e-07,1.289263999999999966e-01
9.340000000000000784e-07,8.280337999999999588e-02
9.345000000000000101e-07,9.250911000000000550e-02
9.350000000000000477e-07,1.596697900000000059e-01
9.354999999999999794e-07,1.615157399999999910e-01
9.360000000000000169e-07,1.364926700000000104e-01
9.364999999999999486e-07,1.467230499999999938e-01
9.370000000000000921e-07,1.274755599999999878e-01
9.375000000000000238e-07,1.107277599999999945e-01
9.379999999999999554e-07,1.236957699999999966e-01
9.384999999999999930e-07,1.671063000000000132e-01
9.389999999999999247e-07,2.724084600000000189e-01
9.394999999999999623e-07,3.746220200000000000e-01
9.399999999999998939e-07,3.681760099999999980e-01
9.405000000000000374e-07,3.021788899999999778e-01
9.409999999999999691e-07,2.797646500000000036e-01
9.415000000000000066e-07,2.874078500000000203e-01
9.419999999999999383e-07,2.950849199999999728e-01
9.424999999999999759e-07,2.520327900000000065e-01
9.429999999999999076e-07,2.120922399999999874e-01
9.435000000000000510e-07,2.413475099999999873e-01
9.439999999999999827e-07,2.021093999999999946e-01
9.445000000000000203e-07,1.699400199999999972e-01
9.449999999999999519e-07,2.468965200000000082e-01
9.454999999999999895e-07,2.498856600000000094e-01
9.459999999999999212e-07,1.911781300000000017e-01
9.464999999999999588e-07,1.981349000000000027e-01
9.469999999999999963e-07,2.347316999999999876e-01
9.475000000000000339e-07,2.546331000000000011e-01
9.479999999999999656e-07,2.342253900000000055e-01
9.485000000000000031e-07,2.447045700000000101e-01
9.489999999999999348e-07,3.059961500000000223e-01
9.494999999999999724e-07,2.594925200000000043e-01
9.499999999999999041e-07,1.682924500000000101e-01
9.505000000000000475e-07,2.363926899999999887e-01
9.509999999999999792e-07,3.709393699999999905e-01
9.515000000000000168e-07,3.489714899999999953e-01
9.519999999999999484e-07,2.154010399999999881e-01
9.524999999999999860e-07,1.698927299999999918e-01
9.529999999999999177e-07,2.455391100000000049e-01
9.535000000000000611e-07,3.321216399999999958e-01
9.539999999999998869e-07,3.331589699999999987e-01
9.544999999999999245e-07,2.941757700000000031e-01
9.549999999999999621e-07,2.896031700000000209e-01
9.554999999999999996e-07,2.819690100000000199e-01
9.560000000000000372e-07,2.751616199999999957e-01
9.565000000000000748e-07,2.741668500000000175e-01
9.569999999999999006e-07,2.977317300000000277e-01
9.574999999999999381e-07,3.866739599999999832e-01
9.579999999999999757e-07,4.200334800000000146e-01
9.585000000000000133e-07,3.573571400000000176e-01
9.590000000000000508e-07,2.832965900000000148e-01
9.595000000000000884e-07,2.603310899999999872e-01
9.599999999999999142e-07,3.259991700000000048e-01
9.604999999999999518e-07,3.735638299999999856e-01
9.609999999999999893e-07,3.832834700000000150e-01
9.615000000000000269e-07,4.194530000000000203e-01
9.620000000000000645e-07,3.909814400000000134e-01
9.625000000000001020e-07,3.409273299999999729e-01
9.629999999999999278e-07,4.144570799999999777e-01
9.634999999999999654e-07,4.686085899999999915e-01
9.640000000000000030e-07,4.190791200000000272e-01
9.645000000000000405e-07,4.147057199999999999e-01
9.649999999999998663e-07,4.411908099999999888e-01
9.655000000000001157e-07,4.615371500000000071e-01
9.659999999999999415e-07,4.431850900000000038e-01
9.664999999999999790e-07,3.966926599999999747e-01
9.670000000000000166e-07,4.662216900000000219e-01
9.675000000000000542e-07,6.027969699999999875e-01
9.679999999999998800e-07,6.380459699999999623e-01
9.685000000000001293e-07,6.133209499999999759e-01
9.689999999999999551e-07,6.345810899999999588e-01
9.694999999999999927e-07,6.527301699999999984e-01
9.700000000000000302e-07,6.387541300000000311e-01
9.705000000000000678e-07,6.447222799999999809e-01
9.709999999999998936e-07,6.727538100000000076e-01
9.714999999999999312e-07,6.758586199999999655e-01
9.719999999999999687e-07,6.560268999999999684e-01
9.725000000000000063e-07,6.311242000000000241e-01
9.730000000000000438e-07,6.131588799999999617e-01
9.735000000000000814e-07,5.728836099999999876e-01
9.739999999999999072e-07,5.308092800000000500e-01
9.744999999999999448e-07,5.636652100000000276e-01
9.749999999999999823e-07,5.987376599999999494e-01
9.755000000000000199e-07,5.742264400000000046e-01
9.760000000000000575e-07,5.323662799999999695e-01
9.765000000000000950e-07,5.508119500000000501e-01
